# Maplify provenance census — Phase 11 / plan 11-02 (RESOLVE-02/03, D-08)
# Date: 2026-06-19  |  Status: HUMAN-CONFIRMED (Task 2 sign-off, operator approved)
# Source: PROD (project ref grztmjpzamcxlzecmqca) via IPv4 pooler aws-1-us-west-1.pooler.supabase.com:5432, session mode
#   (direct host db.<ref>.supabase.co is IPv6-only — no route from this host; pooler used instead)
# READ-ONLY guarantee: a single SELECT, no data mutation. maplify.sightings.comments NOT mutated (SC#2).
# Total maplify.sightings rows at census time: 6832 (cf. EXEC-SUMMARY §3 ~6827 — minor expected drift).
#
# Precedence note (CONFIRMED intended): each row assigned to its HIGHEST-PRECEDENCE signal
#   (bracket -> attribution -> source-only), matching the locked resolution order. A row tagged
#   "[Orca Network] ... Submitted by a Cascadia Trusted Observer" resolves via bracket 'Orca Network',
#   NOT attribution 'Cascadia'. This is why attribution counts here are lower than EXEC-SUMMARY §3.
#
# DECISIONS (operator, 2026-06-19):
#   - All bracket + attribution values map to EXISTING Phase-9 collection slugs (deterministic).
#   - source 'whale_alert' (2484) -> NEW collection slug 'whale-alert' (name "Whale Alert", parent org Whale Alert)
#     to be SEEDED in plan 11-03, distinct from whale-alert-global / whale-alert-alaska channels.
#   - source 'FARPB' (384) -> STAY_NULL (documented known-unresolved; expansion unknown).
#   - source 'wras' (50) -> DROP. These records should not exist. Plan 11-04 adds (a) a one-time guarded
#     DELETE of existing source='wras' rows, and (b) a `WHERE source IS DISTINCT FROM 'wras'` filter in
#     maplify.update_sightings so they are dropped on ingestion going forward. (operator, 2026-06-19)
#   - Empty / [NULL] brackets: none present in census (regex ^\[[^\]]+\] requires >=1 char). D-09 satisfied.
#   - Acronym real-name expansions (PSWS/MCW/CWW/WSSJI/HIWS/SBW/WA/PSWW/SA/SSCH) NOT yet known — slug mapping
#     is sufficient for backfill; collection.name backfill for these stubs is DEFERRED (optional D-10 UPDATE skipped).
#
# Exact query (also /tmp/maplify_census.sql):
#   SELECT match_kind, match_value, count(*) FROM (
#     SELECT CASE WHEN comments ~ '^\[([^\]]+)\]' THEN 'bracket'
#                 WHEN comments ~ 'Trusted Observer' THEN 'attribution' ELSE 'source-only' END AS match_kind,
#            CASE WHEN comments ~ '^\[([^\]]+)\]' THEN (regexp_match(comments,'^\[([^\]]+)\]'))[1]
#                 WHEN comments ~ 'Trusted Observer' THEN regexp_replace(comments,'.*Submitted by an? (.+) Trusted Observer.*','\1','g')
#                 ELSE source END AS match_value
#     FROM maplify.sightings) t GROUP BY 1,2 ORDER BY 1, 3 DESC;
#
# target_collection_slug: HUMAN-CONFIRMED. 'STAY_NULL' = intentionally unresolved. '* (NEW)' = seed in 11-03.
#
match_kind	match_value	n	target_collection_slug
bracket	Orca Network	2254	orca-network
bracket	 Orca Network	1	orca-network
bracket	Orca Networ	1	orca-network
bracket	Orca Networks	1	orca-network
bracket	Orca Neteork	1	orca-network
bracket	PSWS	31	psws
bracket	MCW	12	mcw
bracket	CWW	10	cww
bracket	WSSJI	5	wssji
bracket	HIWS	3	hiws
bracket	Orcasound	3	orcasound
bracket	WA	2	wa
bracket	MBARI	2	mbari
bracket	SBW	2	sbw
bracket	PSWW	1	psww
bracket	SA	1	sa
bracket	SSCH	1	ssch
bracket	Bremerton FB group	1	bremerton-fb
attribution	Whale Alert Global	803	whale-alert-global
attribution	Whale Alert Alaska	624	whale-alert-alaska
attribution	TMMC	103	tmmc
attribution	Cascadia	52	cascadia
source-only	whale_alert	2484	whale-alert (NEW)
source-only	FARPB	384	STAY_NULL
source-only	wras	50	DROP (delete existing + filter on ingestion, 11-04)
